fold,steps,mae_no_exit,validity_no_exit,execution_time_sec,mae_early_exit,validity_early_exit
10,70,,1.0,1.947059631347656,,
10,85,,1.0,6.851890802383423,,
10,100,,1.0,2.742583751678467,,
11,10,,1.0,1.1387989521026611,,
11,25,,1.0,2.070448398590088,,
11,40,,1.0,1.146977424621582,,
11,55,,1.0,1.5237388610839844,,
11,70,,1.0,1.941951036453247,,
11,85,,1.0,2.319502592086792,,
11,100,,1.0,2.7210841178894043,,
12,10,,1.0,0.3497557640075683,,
12,25,,1.0,2.7423789501190186,,
12,40,,1.0,1.3329594135284424,,
12,55,,1.0,1.52978515625,,
12,70,,1.0,3.802721738815308,,
12,85,,1.0,2.3172478675842285,,
12,100,,1.0,5.390156030654907,,
13,10,,1.0,0.349588394165039,,
13,25,,1.0,0.7448194026947021,,
13,40,,1.0,1.1507699489593506,,
13,55,,1.0,3.018059253692627,,
13,70,,1.0,3.779897689819336,,
13,85,,1.0,4.561657905578613,,
13,100,,1.0,2.743422746658325,,
14,10,,1.0,0.6169030666351318,,
14,25,,1.0,0.7448141574859619,,
14,40,,1.0,5.5891273021698,,
14,55,,1.0,1.535839319229126,,
14,70,,1.0,1.9457623958587649,,
14,85,,1.0,4.615377187728882,,
14,100,,1.0,2.749969959259033,,
15,10,,1.0,0.3477017879486084,,
15,25,,1.0,2.07649564743042,,
15,40,,1.0,1.1471819877624512,,
15,55,,1.0,1.543808937072754,,
15,70,,1.0,1.93914008140564,,
15,85,,1.0,2.3254740238189697,,
15,100,,1.0,2.743414163589477,,
16,10,,1.0,0.6127190589904785,,
16,25,,1.0,0.7398366928100586,,
16,40,,1.0,1.3178658485412598,,
16,55,,1.0,3.002807140350342,,
16,70,,1.0,1.9240171909332275,,
16,85,,1.0,2.337702751159668,,
16,100,,1.0,2.7177228927612305,,
17,10,,1.0,0.346231460571289,,
17,25,,1.0,1.40216326713562,,
17,40,,1.0,1.1458044052124023,,
17,55,,1.0,3.000217914581299,,
17,70,,1.0,1.925471544265747,,
17,85,,1.0,6.8460893630981445,,
17,100,,1.0,2.7544541358947754,,
18,10,,1.0,0.8882670402526855,,
18,25,,1.0,0.7442693710327148,,
18,40,,1.0,1.3156542778015137,,
18,55,,1.0,3.010301351547241,,
18,70,,1.0,1.9419119358062744,,
18,85,,1.0,2.3428876399993896,,
18,100,,1.0,2.711109399795532,,
19,10,,1.0,0.3497273921966553,,
19,25,,1.0,0.7403814792633057,,
19,40,,1.0,1.1512160301208496,,
19,55,,1.0,1.5535879135131836,,
19,70,,1.0,1.9560351371765137,,
19,85,,1.0,2.3481364250183105,,
19,100,,1.0,5.362469911575317,,
20,10,,1.0,0.6159148216247559,,
20,25,,1.0,0.7451627254486084,,
20,40,,1.0,2.39185643196106,,
20,55,,1.0,3.0009000301361084,,
20,70,,1.0,1.9455914497375488,,
20,85,,1.0,2.3194522857666016,,
20,100,,1.0,3.158217430114746,,
21,10,,1.0,2.2724435329437256,,
21,25,,1.0,0.7517392635345459,,
21,40,,1.0,1.1316664218902588,,
21,55,,1.0,1.536306858062744,,
21,70,,1.0,1.940061330795288,,
21,85,,1.0,4.602410316467285,,
21,100,,1.0,5.4117958545684814,,
22,10,,1.0,1.9552419185638428,,
22,25,,1.0,0.7489414215087891,,
22,40,,1.0,1.3326308727264404,,
22,55,,1.0,1.5542912483215332,,
