num_steps,distortion,eta,omega,pred_score
87,polydec,81.12757478463759,0.940962241444709,89.92487908910708
88,polydec,80.45390567066597,0.9769934381632053,89.9610482591142
89,polydec,73.03547001342073,0.8492025893427181,90.01625911836449
90,polydec,66.81378384708941,0.9667070354691145,89.99518006876782
91,polydec,88.31810708719621,0.8046260891514961,89.84205677649865
92,polydec,81.06535940729565,0.8763055967449255,90.04620376429563
93,polydec,73.67101872644568,0.9462802227936087,90.11734003492914
94,polydec,99.7738399097848,0.8703831337731126,90.12624043505414
95,polydec,86.35317305679403,0.9962087402556569,90.28289765066968
96,polydec,93.0090150898948,0.8923672754297994,90.17473550133903
97,polydec,90.3252764183307,0.8151333971415852,89.83002001940375
98,polydec,82.18890682973229,0.968835684426537,90.39083223675456
99,polydec,84.06575882578721,0.9809223453187293,90.49018501125855
100,polydec,81.7480045092259,0.9743677802726143,90.52895777251894
101,polydec,88.18336886332261,0.9815191980310647,90.62190531095764
102,polydec,92.99362111317163,0.9712881933355357,90.57731094642703
103,polydec,101.20205915871983,0.9380369547145082,90.36097593890709
104,polydec,80.77342395160971,0.9888754390620516,90.606692038673
105,polydec,114.79674055933246,0.978122564231941,90.24760392985519
106,polydec,103.58288507123322,0.9548688947650631,90.45381638875953
107,polydec,103.52878385650043,0.9042879603411001,90.19997628111896
108,polydec,103.3032483169841,0.9686838726878356,90.57005167888639
109,polydec,113.45555593723412,0.9954023576364605,90.35184128249966
110,polydec,117.32544327748103,0.9316058353173257,90.0419162050235
111,polydec,105.36458120082409,0.9622035680031734,90.5033180877552
112,polydec,101.38578882827862,0.9857123736448662,90.66933618441664
113,polydec,68.85615198088888,0.9843566860532339,90.01062759733489
114,polydec,74.4343260390673,1.0,90.15854906152681
115,polydec,104.23312548202571,0.9802885151783557,90.54003340955221
116,polydec,243.8919111496103,0.3128086652003411,90.11635615854294
117,polydec,101.41372244729041,1.0,90.6370623617345
118,polydec,243.2986161432149,0.32871299758903527,90.12350298306804
119,polydec,90.4368387612642,0.9978443338584964,90.33266171670167
120,polydec,96.96227666320345,0.923623980495602,90.25507603596103
121,polydec,50.67524989445687,0.22423118661441177,90.0787412926214
122,polydec,95.80282837829911,0.9158057562704217,90.15979664355666
123,polydec,122.32728970009923,0.9507584698321951,90.17447045708805
124,polydec,70.60017504159657,0.2141419037802217,90.10853735313911
125,polydec,131.51650702014445,0.9896860948718308,90.25852562704571
126,polydec,243.7947896065254,0.35592032517320354,90.17831359872721
127,polydec,106.03576097872143,0.9820462448931312,90.29283814868866
128,polydec,70.4657055257558,0.2295076794064354,90.16829947730518
129,polydec,109.33978131924441,0.9665431382999718,90.2693214951474
130,polydec,46.8224563305576,0.19982041907981496,90.15626004299564
131,polydec,248.8904694850062,0.27533946907432133,90.27065340943892
132,polydec,247.14535663240284,0.3481151126124125,90.2427421080393
133,polydec,55.06807166951188,0.2745165050883193,90.24448095895858
134,polydec,140.5535435229848,0.9922283921746363,90.26981945707348
135,polydec,49.6095526792551,0.24004162180174737,90.28376239100368
136,polydec,58.993459566171424,0.23286552138036254,90.35435652566929
137,polydec,62.72121785579726,0.23399370262014219,90.33124814736313
138,polydec,63.29334393716191,0.24623969961360354,90.3549602375743
139,polydec,154.3872407930074,0.990565741696784,90.21227540525018
140,polydec,61.03843676285951,0.233811287999786,90.37057643066471
141,polydec,55.04893786652654,0.2158929960727035,90.33757708281071
142,polydec,247.27907126952613,0.30316333662473677,90.34436917639383
143,polydec,145.33970775732928,0.020106264944545982,90.39258715096179
144,polydec,249.46666277468262,0.34370252777293253,90.3496191943349
145,polydec,177.71440325194496,0.04234468069223574,90.43441729135972
146,polydec,249.95182729684643,0.30106536994144517,90.38971449963553
147,polydec,157.37004717600502,0.04562642500465375,90.52451091897477
148,polydec,165.0878792171457,0.008150391806241275,90.52246017254801
149,polydec,167.79835579473144,0.020773650037530123,90.57615171248085
150,polydec,166.45792826850504,0.026817897156927218,90.61862036857431
