fold,steps,mae_no_exit,validity_no_exit,execution_time_sec
17,100,,1.0,2.281968593597412
18,10,,1.0,0.2944211959838867
18,25,,1.0,1.1910254955291748
18,40,,1.0,1.0819518566131592
18,55,,1.0,1.3072319030761719
18,70,,1.0,1.6255285739898682
18,85,,1.0,1.9778201580047607
18,100,,1.0,2.309014320373535
19,10,,1.0,0.30026984214782715
19,25,,1.0,0.632667064666748
19,40,,1.0,1.8417518138885498
19,55,,1.0,1.3044235706329346
19,70,,1.0,1.643644094467163
19,85,,1.0,3.8452577590942383
19,100,,1.0,2.3046228885650635
20,10,,1.0,0.7520341873168945
20,25,,1.0,1.1856279373168945
20,40,,1.0,1.0977592468261719
20,55,,1.0,1.3082280158996582
20,70,,1.0,1.6439383029937744
20,85,,1.0,1.9782745838165283
20,100,,1.0,2.2751872539520264
21,10,,1.0,0.9710042476654053
21,25,,1.0,0.6268234252929688
21,40,,1.0,0.9688882827758789
21,55,,1.0,1.2875900268554688
21,70,,1.0,1.617870807647705
21,85,,1.0,1.9860002994537354
21,100,,1.0,2.3114523887634277
22,10,,1.0,0.2972395420074463
22,25,,1.0,0.6335155963897705
22,40,,1.0,1.093797206878662
22,55,,1.0,1.2955434322357178
22,70,,1.0,1.6463639736175537
22,85,,1.0,1.9865353107452393
22,100,,1.0,2.3031039237976074
23,10,,1.0,0.295072078704834
23,25,,1.0,0.635000467300415
23,40,,1.0,0.9561257362365723
23,55,,1.0,1.303870439529419
23,70,,1.0,1.639625072479248
23,85,,1.0,1.9797966480255127
23,100,,1.0,2.3196394443511963
24,10,,1.0,0.7502224445343018
24,25,,1.0,1.1984891891479492
24,40,,1.0,1.1043403148651123
24,55,,1.0,1.3092410564422607
24,70,,1.0,1.6503567695617676
24,85,,1.0,1.981776475906372
24,100,,1.0,2.311770439147949
25,10,,1.0,0.3008136749267578
25,25,,1.0,0.627056360244751
25,40,,1.0,0.9716520309448242
25,55,,1.0,1.3046796321868896
25,70,,1.0,1.6444244384765625
25,85,,1.0,1.9779057502746582
25,100,,1.0,2.307440757751465
26,10,,1.0,0.7453088760375977
26,25,,1.0,0.6361558437347412
26,40,,1.0,1.0885844230651855
26,55,,1.0,1.3139052391052246
26,70,,1.0,1.6434965133666992
26,85,,1.0,1.9438319206237793
26,100,,1.0,2.283616065979004
27,10,,1.0,0.7479829788208008
27,25,,1.0,0.6334524154663086
27,40,,1.0,0.9703850746154785
27,55,,1.0,1.3101210594177246
27,70,,1.0,1.6216869354248047
27,85,,1.0,1.9752976894378662
27,100,,1.0,2.31591796875
28,10,,1.0,0.7496671676635742
28,25,,1.0,0.6323800086975098
28,40,,1.0,1.0955572128295898
28,55,,1.0,1.3077666759490967
28,70,,1.0,1.6585099697113037
28,85,,1.0,1.9966404438018799
28,100,,1.0,2.280120849609375
29,10,,1.0,0.9765565395355225
29,25,,1.0,1.1931517124176025
29,40,,1.0,0.9720356464385986
29,55,,1.0,1.3110849857330322
29,70,,1.0,1.6439683437347412
29,85,,1.0,1.983755111694336
29,100,,1.0,2.3191545009613037
30,10,,1.0,1.198754072189331
30,25,,1.0,0.6279566287994385
30,40,,1.0,1.0990300178527832
30,55,,1.0,1.3087151050567627
30,70,,1.0,1.6222281455993652
30,85,,1.0,1.950446367263794
30,100,,1.0,2.3079912662506104
31,10,,1.0,0.5245518684387207
31,25,,1.0,1.748009204864502
31,40,,1.0,0.97525954246521
31,55,,1.0,1.3053936958312988
31,70,,1.0,1.6249372959136963
31,85,,1.0,1.9534645080566406
31,100,,1.0,2.3106210231781006
32,10,,1.0,0.2986774444580078
32,25,,1.0,0.6380739212036133
32,40,,1.0,1.1010043621063232
32,55,,1.0,2.5286004543304443
32,70,,1.0,1.6440234184265137
32,85,,1.0,1.9798524379730225
32,100,,1.0,2.3093459606170654
33,10,,1.0,0.5218336582183838
33,25,,1.0,0.6287345886230469
33,40,,1.0,0.9609007835388184
33,55,,1.0,3.755317449569702
33,70,,1.0,1.6463098526000977
33,85,,1.0,1.9750137329101562
33,100,,1.0,2.3098537921905518
34,10,,1.0,0.523693323135376
34,25,,1.0,1.756540060043335
34,40,,1.0,1.0993237495422363
34,55,,1.0,1.29439377784729
34,70,,1.0,3.1921122074127197
34,85,,1.0,1.966435432434082
34,100,,1.0,2.310774564743042
35,10,,1.0,0.3005521297454834
35,25,,1.0,0.6318445205688477
35,40,,1.0,1.8557665348052979
35,55,,1.0,1.3052539825439453
35,70,,1.0,1.6384382247924805
35,85,,1.0,1.9749479293823242
35,100,,1.0,2.311791181564331
36,10,,1.0,0.9686629772186279
36,25,,1.0,1.1943938732147217
36,40,,1.0,2.0028293132781982
36,55,,1.0,1.310551643371582
36,70,,1.0,1.6576037406921387
36,85,,1.0,1.9839520454406738
36,100,,1.0,2.3205745220184326
37,10,,1.0,1.4200701713562012
37,25,,1.0,1.1866490840911865
37,40,,1.0,0.9717974662780762
37,55,,1.0,1.3037586212158203
37,70,,1.0,1.6396305561065674
37,85,,1.0,1.990185022354126
37,100,,1.0,2.3211259841918945
38,10,,1.0,0.2973647117614746
38,25,,1.0,0.6378469467163086
38,40,,1.0,1.1028468608856201
38,55,,1.0,1.3138470649719238
38,70,,1.0,1.6317312717437744
38,85,,1.0,1.9840655326843262
38,100,,1.0,4.607024908065796
39,10,,1.0,0.2996025085449219
39,25,,1.0,1.203580617904663
39,40,,1.0,0.9657571315765381
39,55,,1.0,1.3110167980194092
39,70,,1.0,1.6509623527526855
39,85,,1.0,1.9514038562774658
39,100,,1.0,2.2954306602478027
40,10,,1.0,0.7456550598144531
40,25,,1.0,0.6334331035614014
40,40,,1.0,1.9730029106140137
40,55,,1.0,1.311121940612793
40,70,,1.0,1.6555678844451904
40,85,,1.0,1.9597246646881104
40,100,,1.0,2.3172175884246826
41,10,,1.0,0.30100154876708984
41,25,,1.0,1.1914358139038086
41,40,,1.0,0.9714944362640381
41,55,,1.0,2.5255260467529297
41,70,,1.0,1.6432039737701416
41,85,,1.0,1.9837350845336914
41,100,,1.0,2.333451747894287
42,10,,1.0,0.5235037803649902
42,25,,1.0,0.6358366012573242
42,40,,1.0,1.11155104637146
42,55,,1.0,1.5756404399871826
42,70,,1.0,2.158724546432495
42,85,,1.0,2.508171796798706
42,100,,1.0,2.3932299613952637
43,10,,1.0,1.0209887027740479
43,25,,1.0,0.6728589534759521
43,40,,1.0,0.997143030166626
43,55,,1.0,1.3444998264312744
43,70,,1.0,1.6312012672424316
43,85,,1.0,1.9987292289733887
43,100,,1.0,2.336092233657837
44,10,,1.0,0.3105947971343994
44,25,,1.0,0.6501355171203613
44,40,,1.0,1.1806795597076416
44,55,,1.0,1.3959846496582031
44,70,,1.0,1.7213611602783203
44,85,,1.0,2.02996826171875
44,100,,1.0,2.314762592315674
45,10,,1.0,0.5324869155883789
45,25,,1.0,0.6502013206481934
45,40,,1.0,1.004701852798462
45,55,,1.0,1.3317036628723145
45,70,,1.0,1.7051606178283691
45,85,,1.0,2.029866933822632
45,100,,1.0,2.3151636123657227
46,10,,1.0,0.7652840614318848
46,25,,1.0,0.6484959125518799
46,40,,1.0,1.179013729095459
46,55,,1.0,2.66196870803833
46,70,,1.0,1.7141211032867432
46,85,,1.0,1.9557955265045166
46,100,,1.0,2.336385726928711
