exp_name,num_steps,distortion,eta,omega,validity_mean,validity_std,vun_mean,vun_std,mmd_mean,mmd_std,mae_mean,time,samples_to_generate,condition_value
qm9_with_h_conditional.ckpt,20,polydec,25.0,0.6000000000000001,58.154296875,0.0,,,0.3907767009498422,0.0,16.836329,"(18.742353439331055, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,25.0,0.8,60.498046875,0.0,,,0.40072397027419393,0.0,16.548635,"(18.713365077972412, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,25.0,1.0,60.693359375,0.0,,,0.38146892027269186,0.0,14.924841,"(18.72553014755249, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,50.0,0.0,48.095703125,0.0,,,0.3919449899870799,0.0,14.3508,"(18.714007139205933, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,50.0,0.2,48.33984375,0.0,,,0.3970396308402742,0.0,14.720306,"(18.722744464874268, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,50.0,0.4,46.923828125,0.0,,,0.38428906559128306,0.0,9.770345,"(18.730864763259888, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,50.0,0.6000000000000001,49.072265625,0.0,,,0.37875603233822236,0.0,29.161581,"(18.718759059906006, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,50.0,0.8,48.4375,0.0,,,0.38744550333181166,0.0,27.42495,"(18.715254306793213, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,50.0,1.0,51.220703125,0.0,,,0.39092074737256355,0.0,38.006325,"(18.721722841262817, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,100.0,0.0,37.5,0.0,,,0.3799152081664289,0.0,9.020314,"(18.724764347076416, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,100.0,0.2,39.16015625,0.0,,,0.37742375901781744,0.0,18.107208,"(34.579434394836426, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,100.0,0.4,39.6484375,0.0,,,0.3885221973988834,0.0,2.0558624,"(43.17006468772888, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,100.0,0.6000000000000001,39.892578125,0.0,,,0.39250324540459397,0.0,5.208374,"(43.046698808670044, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,100.0,0.8,40.72265625,0.0,,,0.3882219261225066,0.0,64.091156,"(43.245874643325806, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,100.0,1.0,41.455078125,0.0,,,0.39162774920183563,0.0,31.303202,"(43.265722036361694, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,150.0,0.0,31.93359375,0.0,,,0.3277137600699838,0.0,4.508728,"(18.765708446502686, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,150.0,0.2,33.7890625,0.0,,,0.3279428461235066,0.0,24.817026,"(18.77079176902771, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,150.0,0.4,35.05859375,0.0,,,0.337285015499706,0.0,26.96343,"(18.755948781967163, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,150.0,0.6000000000000001,34.47265625,0.0,,,0.33674295204477794,0.0,0.67907715,"(18.756232500076294, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,150.0,0.8,35.44921875,0.0,,,0.32765263662337074,0.0,1.938385,"(28.96040105819702, 0.0)",2048,-400
