steps,run_index,condition_value,execution_time_sec,mae,validity
70,40,-426.75820695292396,1.6358919143676758,,1.0
70,41,-356.29642342868345,1.6298556327819824,,1.0
70,42,-380.2526966086508,1.6340720653533936,,1.0
70,43,-381.87061265939803,3.1569173336029053,,1.0
70,44,-415.69875175901916,1.7379248142242432,,1.0
70,45,-409.79421896384406,1.6154425144195557,,1.0
70,46,-371.97132840635703,1.6407413482666016,,1.0
70,47,-406.3904933176131,1.636185884475708,,1.0
70,48,-378.19423751603193,1.636397123336792,,1.0
70,49,-363.0885035441952,1.6402697563171387,,1.0
70,50,-431.8633283921854,1.6290857791900635,,1.0
70,51,-388.2615956872071,1.6224331855773926,,1.0
70,52,-407.9262388524764,1.6331188678741455,,1.0
70,53,-364.8474476887492,3.207336187362671,,1.0
70,54,-440.79726087492736,3.1775591373443604,,1.0
70,55,-404.0121255641235,1.6525909900665283,,1.0
70,56,-459.09073774641826,1.6514019966125488,,1.0
70,57,-372.50816988318064,1.636326789855957,,1.0
70,58,-373.4449377713543,3.3176615238189697,,1.0
70,59,-388.62723803606843,1.6418702602386475,,1.0
70,60,-443.80576557067735,1.6269843578338623,,1.0
70,61,-441.8252606426172,1.6252143383026123,,1.0
70,62,-444.278681773521,1.635861873626709,,1.0
70,63,-442.39548410525754,3.185406446456909,,1.0
70,64,-432.4615283614911,1.641263723373413,,1.0
70,65,-398.3805705860311,1.6318795680999756,,1.0
70,66,-427.1333151905699,1.6358685493469238,,1.0
70,67,-412.04989731539223,1.6145448684692383,,1.0
70,68,-384.88336258750223,3.1553590297698975,,1.0
70,69,-428.85882796632677,1.641139030456543,,1.0
70,70,-367.3927616946397,1.6339147090911865,,1.0
70,71,-436.19222711864666,1.6148872375488281,,1.0
70,72,-422.126747751434,1.7647769451141357,,1.0
70,73,-362.57359856768096,1.636096715927124,,1.0
70,74,-355.0784943032281,1.636225700378418,,1.0
70,75,-444.439795342913,1.633082628250122,,1.0
70,76,-405.5984198614422,1.6121182441711426,,1.0
70,77,-446.9699101511014,1.6354706287384033,,1.0
70,78,-371.5235812680759,1.6136698722839355,,1.0
70,79,-354.3673437829473,1.637150764465332,,1.0
70,80,-361.73023084087174,1.6391220092773438,,1.0
70,81,-386.9297141070067,1.6429812908172607,,1.0
70,82,-425.1220246691875,1.6173593997955322,,1.0
70,83,-443.4951479809182,1.6467459201812744,,1.0
70,84,-368.58219288659075,1.6360046863555908,,1.0
70,85,-399.1298839765306,1.6311571598052979,,1.0
70,86,-377.94317139849954,1.7279582023620605,,1.0
70,87,-415.92459336510143,1.6280550956726074,,1.0
70,88,-446.3622732582136,3.1915433406829834,,1.0
70,89,-372.1423108764871,3.1753764152526855,,1.0
70,90,-453.3431938376418,1.6343657970428467,,1.0
70,91,-361.72727306274254,1.6314213275909424,,1.0
70,92,-390.3142571286975,1.6039137840270996,,1.0
70,93,-361.6397327834744,1.6312355995178223,,1.0
70,94,-438.88639398422976,3.1914291381835938,,1.0
70,95,-371.8046109093182,3.1929311752319336,,1.0
70,96,-400.57126352609174,3.1983180046081543,,1.0
70,97,-428.5543483275689,1.6192402839660645,,1.0
70,98,-421.94113941573505,1.6280241012573242,,1.0
70,99,-361.7897855756695,1.6116909980773926,,1.0
70,100,-357.54350319833,1.7609832286834717,,1.0
70,101,-360.04446533107193,3.192239999771118,,1.0
70,102,-378.37804138654184,3.1853575706481934,,1.0
70,103,-421.7939570922052,1.6087346076965332,,1.0
70,104,-378.7047001132814,1.6402673721313477,,1.0
70,105,-427.1089619851688,1.6416652202606201,,1.0
